[1, 1, 1, 1, 2, 2, 3.5, 3.5, 1100, 95, 5, 2][2]
[1, 1, 1, 1, 2, 2, 3.5, 3.5, 1100, 95, 5, 2][2]
[1, 1, 1, 1, 2, 2, 3.5, 3.5, 1100, 95, 5, 2][2]
[1, 1, 1, 1, 2, 2, 3.5, 3.5, 1100, 95, 5, 2][2]
[1, 1, 1, 1, 2, 2, 3.5, 3.5, 1100, 95, 5, 2][2]
[1, 1, 1, 1, 2, 2, 3.5, 3.5, 1100, 95, 5, 2][2]
[1, 1, 1, 1, 2, 2, 3.5, 3.5, 1100, 95, 5, 2][2]
[1, 1, 1, 1, 2, 2, 3.5, 3.5, 1100, 95, 5, 2][2]
[1, 1, 1, 1, 2, 2, 3.5, 3.5, 1100, 95, 5, 2][2]
[1, 1, 5, 1, 1, 2, 3.5, 3.5, 1100, 95, 5, 2][1]
[1, 1, 5, 1, 1, 2, 3.5, 3.5, 1100, 95, 5, 2][1]
[1, 1, 5, 1, 1, 2, 3.5, 3.5, 1100, 95, 5, 2][1]
[1, 1, 5, 1, 1, 2, 3.5, 3.5, 1100, 95, 5, 2][1]
[0, 0, 0, 0, 0, 0, 3.5, 3.5, 1100, 95, 5, 2][200]
